rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
716,9876,9876.T,"COX CO.,LTD.",Retail Trade,0.7584240859269933,0.854969245710586,0.9283636363636364,0.8806706114398422,0.5,0.1609120521172639,1.0,0.26427879961277834,0.0,0.0,0.0,0.0,1.7751064929465632,0.1802791624946011,0.6230353706825199,0.5,0.0317659296203159,13131445.0,False,,False,,Sensitivity reference pool.
717,1905,1905.T,TENOX CORPORATION,Construction,0.7582133488150429,0.7251537714470703,0.5563636363636364,0.267258382642998,0.8333333333333334,0.9355048859934854,1.0,0.27040980961600514,0.0,0.0,0.0,0.0,1.329972739467809,0.0799936076438919,0.1719376303204186,0.8333333333333334,-0.1120016542082035,13639980.0,False,,False,,Sensitivity reference pool.
718,7827,7827.T,ORVIS CORPORATION,Other Products,0.7580474935441389,0.8844286176756232,0.8843636363636364,0.3096646942800789,0.8333333333333334,0.5100977198697069,1.0,0.16521458535011294,0.0,0.0,0.0,0.0,1.9881646343511128,0.1470659659118387,0.1849242528784669,0.8333333333333334,-0.0200783547303227,6234648.333333333,False,,False,,Sensitivity reference pool.
719,7374,7374.T,Interworks Confidence Inc.,Services,0.7579743352828291,0.3179022337325995,0.7669090909090909,0.8852728468113084,1.0,0.3407166123778501,1.0,0.2758954501452081,0.0,0.0,0.0,0.0,0.610906478020612,0.1091370422505464,0.6354696127919149,1.0,-0.0013821302415705,14485528.333333334,False,,False,,Sensitivity reference pool.
720,6317,6317.T,Kitagawa Corporation,Machinery,0.7578392863246506,0.9456134671414698,0.5767272727272728,0.1009204470742932,0.6666666666666666,0.8055374592833876,1.0,0.4904808002581478,0.0,0.0,0.0,0.0,2.7596509248618335,0.0823815868223446,0.1110853658536585,0.6666666666666666,-0.0605148573472635,65882661.666666664,False,,False,,Sensitivity reference pool.
721,3088,3088.T,MatsukiyoCocokara & Co.,Retail Trade,0.7575395402991645,0.2884428617675623,0.3683636363636363,0.477646285338593,1.0,0.4833876221498371,1.0,0.9664407873507583,0.0,0.0,0.0,0.0,0.5735423676087691,0.0604997624964925,0.2458398717156186,1.0,-0.0175030128570615,6540671277.5,False,,False,,Sensitivity reference pool.
722,9413,9413.T,TV TOKYO Holdings Corporation,Information & Communication,0.757519145913407,0.6063450955001619,0.3985454545454545,0.6305062458908612,0.8333333333333334,0.40488599348534204,1.0,0.7105517909002904,0.0,0.0,0.0,0.0,1.0506023498149506,0.063994983172732,0.326400303024154,0.8333333333333334,-0.0092358707113722,262912741.66666663,False,,False,,Sensitivity reference pool.
723,6824,6824.T,"NEW COSMOS ELECTRIC CO.,LTD.",Electric Appliances,0.7574299066961471,0.5564907737131758,0.4847272727272727,0.5696909927679158,1.0,0.46872964169381104,1.0,0.5040335592126493,0.0,0.0,0.0,0.0,0.9632949384378446,0.071556591997554,0.2905165886528073,1.0,-0.0161064294042865,72165825.0,False,,False,,Sensitivity reference pool.
724,6670,6670.T,"MCJ Co.,Ltd.",Electric Appliances,0.7573279912217262,0.1812884428617675,0.413090909090909,0.7015121630506246,0.8333333333333334,0.5716612377850163,1.0,0.8822200709906421,0.0,0.0,0.0,0.0,0.4175065449999248,0.0656466804519441,0.3851112667869014,0.8333333333333334,-0.0275470854304869,1258634811.6666667,False,,False,,Sensitivity reference pool.
725,5958,5958.T,"SANYO INDUSTRIES,LTD.",Metal Products,0.757316755086798,0.8112657818064098,0.8316363636363636,0.5384615384615384,0.6666666666666666,0.3726384364820847,1.0,0.36237495966440786,0.0,0.0,0.0,0.0,1.577922746347075,0.1242322581887945,0.2750207840378589,0.6666666666666666,-0.0053199861491484,28586533.333333332,False,,False,,Sensitivity reference pool.
