code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1605,2025,203000000.0,980731000000.0,9281000000.0,15829000000.0,15400000000.0,1132000000.0,403055000000.0,491771000000.0,ok,894826000000.0
1662,2023,186166000000.0,362989000000.0,118411000000.0,291000000.0,38132000000.0,14257000000.0,260000000.0,250000000.0,ok,510000000.0
1662,2024,152598000000.0,397846000000.0,176300000000.0,181000000.0,77055000000.0,27646000000.0,250000000.0,,ok,250000000.0
1662,2025,140931000000.0,445499000000.0,227590000000.0,388000000.0,78050000000.0,49906000000.0,,,ok,
1663,2023,22509000000.0,68025000000.0,40851000000.0,211000000.0,6319000000.0,5564000000.0,357000000.0,569000000.0,ok,926000000.0
1663,2024,28829000000.0,73100000000.0,41615000000.0,182000000.0,6748000000.0,5795000000.0,346000000.0,567000000.0,ok,913000000.0
1663,2025,29857000000.0,80252000000.0,42997000000.0,33000000.0,7546000000.0,6293000000.0,331000000.0,546000000.0,ok,877000000.0
1711,2023,381179000.0,-3539101000.0,1370463000.0,,465229000.0,37058000.0,2157820000.0,1235944000.0,ok,3393764000.0
1711,2024,602888000.0,-3669982000.0,1048719000.0,,148943000.0,31966000.0,1502187000.0,1095974000.0,ok,2598161000.0
1711,2025,420014000.0,-3821697000.0,1577948000.0,,704402000.0,44968000.0,1962857000.0,1552664000.0,ok,3515521000.0
1716,2023,9422093000.0,15896934000.0,5917539000.0,79475000.0,951225000.0,644099000.0,59538000.0,300340000.0,ok,359878000.0
1716,2024,9463504000.0,17468245000.0,6056708000.0,66205000.0,965417000.0,735064000.0,34536000.0,191807000.0,ok,226343000.0
1716,2025,8209000000.0,18359448000.0,6000351000.0,77496000.0,854502000.0,778326000.0,34536000.0,156270000.0,ok,190806000.0
1717,2023,1598566000.0,4060890000.0,84144000.0,900000.0,63398000.0,30858000.0,,,ok,
1717,2024,1707531000.0,4471485000.0,77276000.0,4909000.0,89854000.0,37195000.0,,,ok,
1717,2025,829338000.0,4928037000.0,92472000.0,4909000.0,168693000.0,53690000.0,,,ok,
1718,2023,1802016000.0,13833967000.0,15221116000.0,,147511000.0,483737000.0,3761582000.0,2240809000.0,ok,6002391000.0
1718,2024,2396520000.0,14218945000.0,14890244000.0,,233367000.0,480066000.0,3325260000.0,3782609000.0,ok,7107869000.0
1718,2025,2829958000.0,15517436000.0,15363774000.0,,604302000.0,488851000.0,7512300000.0,2723109000.0,ok,10235409000.0
1719,2023,74326000000.0,122656000000.0,31355000000.0,3100000000.0,200000000.0,2100000000.0,16489000000.0,7498000000.0,ok,23987000000.0
1719,2024,48848000000.0,128575000000.0,36152000000.0,3300000000.0,1000000000.0,2495000000.0,16348000000.0,7249000000.0,ok,23597000000.0
1719,2025,55772000000.0,145412000000.0,35440000000.0,4500000000.0,3500000000.0,3504000000.0,20982000000.0,6916000000.0,ok,27898000000.0
1720,2023,58714000000.0,70112000000.0,27220000000.0,1177000000.0,496000000.0,1203000000.0,20083000000.0,1887000000.0,ok,21970000000.0
1720,2024,31942000000.0,73553000000.0,22478000000.0,1109000000.0,698000000.0,1087000000.0,33207000000.0,21521000000.0,ok,54728000000.0
