code,company_name,sector_33,fiscal_year,decision_anchor_date,market_equity_pti,moat_p,change_p,future_p,price_p,total_equal25,total_current_weights,future_return_252d
9307,"Sugimura Warehouse Co.,Ltd.",Warehousing and Harbor Transportation Service,2023,2023-06-30,10474202810.0,63.930875700216994,75.02453385672227,19.479882237487733,59.17566241413151,54.402738552139624,52.65571020761171,-0.0230818835236152
9308,"Inui Global Logistics Co.,Ltd.",Marine Transportation,2023,2023-06-23,32789874040.0,72.45013869776956,75.02453385672227,19.479882237487733,74.58292443572131,60.38436980692522,57.52257841011595,-0.0845420057114383
9310,Japan Transcity Corporation,Warehousing and Harbor Transportation Service,2023,2023-06-30,39831786540.0,42.729222063171775,75.02453385672227,19.479882237487733,83.68498527968596,55.22965585926694,49.971612546331315,0.6410694589313881
9324,Yasuda Logistics Corporation,Warehousing and Harbor Transportation Service,2023,2023-06-29,28726240200.0,37.25255556951747,75.02453385672227,19.479882237487733,71.88420019627085,50.910292964999584,46.558494835722755,0.6621586413049743
9325,PHYZ Holdings Inc.,Warehousing and Harbor Transportation Service,2023,2023-07-01,14215130000.0,52.71456210070327,75.02453385672227,19.479882237487733,23.699705593719333,42.729670947158155,43.969422604695765,-0.1220401081486366
9330,AGEHA Inc.,Services,2023,2023-12-26,1304376000.0,55.822023033109474,35.59862610402355,49.656526005888125,38.46908734052993,44.88656562088777,46.31358433878466,-0.2010869565217391
9331,Caster Co.Ltd.,Services,2023,2023-11-30,2266831800.0,33.63394047128675,11.236506378802748,49.656526005888125,22.620215897939158,29.286797188479195,31.189298922544022,-0.3298969072164949
9336,"Daiei Kankyo Co.,Ltd.",Services,2023,2023-06-29,255426145300.0,63.66576203584096,75.02453385672227,49.656526005888125,21.418056918547595,52.44121970424974,55.96552841448143,0.0877441948248451
9337,toridori Inc.,Services,2023,2024-03-30,8973367200.0,38.74826624960385,11.236506378802748,49.656526005888125,8.04710500490677,26.922100909800374,30.537630022084294,-0.2791580400276052
9338,INFORICH INC.,Services,2023,2024-03-30,51025976000.0,64.8990329154328,75.02453385672227,49.656526005888125,4.955839057899902,48.633982958985776,53.866176999261825,-0.3474264705882353
9341,"GENOVA,Inc.",Services,2023,2023-06-24,35618554400.0,91.50098918508999,35.59862610402355,49.656526005888125,13.321884200196271,47.51950637379949,53.24519371332877,-0.2030632217124574
9343,ibis inc.,Services,2023,2024-03-30,2322805257.0,74.60963585244552,75.02453385672227,49.656526005888125,52.82139352306183,63.02802230952943,63.95919105013993,-0.0362549191544779
9344,Axis Consulting Corporation,Services,2023,2023-09-29,7477488000.0,78.0634943964664,35.59862610402355,49.656526005888125,28.09126594700687,47.85247811334623,51.429352538763276,-0.3322368318601875
9346,"Cocorport,Inc.",Services,2023,2023-09-29,7834615500.0,79.40799003242853,35.59862610402355,49.656526005888125,24.901864573110892,47.39125167886277,51.35429102346751,-0.2977169020130344
9351,"TOYO WHARF & WAREHOUSE CO.,LTD.",Warehousing and Harbor Transportation Service,2023,2023-06-29,10486643300.0,42.01496664438448,75.02453385672227,19.479882237487733,80.81452404317959,54.33347669544352,49.32676673521917,0.0101288169617954
9353,"SAKURAJIMA FUTO KAISHA,LTD.",Warehousing and Harbor Transportation Service,2023,2023-06-30,2787950000.0,40.3521930468008,75.02453385672227,19.479882237487733,64.05789990186457,49.728627260718845,46.314441034746814,0.0225274925411451
9363,"DAIUN CO.,LTD.",Warehousing and Harbor Transportation Service,2023,2023-07-01,2113697298.0,29.537927371301254,35.59862610402355,19.479882237487733,69.47988223748773,38.524079487575065,34.02698174426574,0.1789367994332951
9364,"Kamigumi Co.,Ltd.",Warehousing and Harbor Transportation Service,2023,2023-07-01,363083456285.0,74.48892567754845,75.02453385672227,19.479882237487733,50.51521099116781,54.87713819073157,54.52405748736659,0.0603023772040807
9368,"KIMURA UNITY CO.,LTD.",Warehousing and Harbor Transportation Service,2023,2023-06-24,13835714400.0,47.949348353778944,75.02453385672227,19.479882237487733,88.8125613346418,57.81658144565769,52.306786841756846,0.4280102062678268
9369,K.R.S.Corporation,Warehousing and Harbor Transportation Service,2023,2024-02-27,23265871200.0,21.781967594737555,35.59862610402355,19.479882237487733,44.749754661432775,30.4025576494204,27.99067467488839,1.1007142825926102
9380,"Azuma Shipping Co.,Ltd.",Warehousing and Harbor Transportation Service,2023,2023-06-30,8218716000.0,20.267395978043048,75.02453385672227,19.479882237487733,51.7909715407262,41.64069590324481,38.448962659948734,0.0342949136308381
9401,"TBS HOLDINGS,INC.",Information & Communication,2023,2023-06-30,441492268230.0,45.492534307536815,35.59862610402355,64.1315014720314,68.62119725220805,53.460964783949954,52.08004684770756,0.7028576923855607
9404,"Nippon Television Holdings,Inc.",Information & Communication,2023,2023-07-01,351108405840.0,57.408440261458324,75.02453385672227,64.1315014720314,76.22669283611384,68.19779210658146,66.65211990964455,0.812950019624942
9405,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,Information & Communication,2023,2023-06-30,27626451600.0,33.303076597665175,75.02453385672227,64.1315014720314,61.1874386653582,58.41163764794426,57.16462268489327,0.0451626928177226
9409,TV Asahi Holdings Corporation,Information & Communication,2023,2023-06-30,173524263000.0,45.04807281005624,35.59862610402355,64.1315014720314,75.4170755642787,55.04881898759747,52.96609014527399,0.3579287336455816
9412,SKY Perfect JSAT Corporation,Information & Communication,2023,2023-06-24,161501938272.0,72.90894889713263,75.02453385672227,64.1315014720314,70.85377821393524,70.72969060995538,70.49633530702006,0.649324088233505
9413,TV TOKYO Holdings Corporation,Information & Communication,2023,2023-06-17,85134816000.0,57.29793536985344,75.02453385672227,64.1315014720314,55.397448478900884,62.962854794377,63.49458178858115,0.3209543790882587
9414,Nippon BS Broadcasting Corporation,Information & Communication,2023,2023-11-17,15886013344.0,72.51369395430284,35.59862610402355,64.1315014720314,64.96565260058881,59.30236853273665,59.63806304399448,0.0296477047006666
9416,VISION INC.,Information & Communication,2023,2024-03-30,55487087600.0,84.10556299145381,75.02453385672227,64.1315014720314,24.63199214916585,61.97339761734334,66.922051625601,0.0226008205205987
9418,"U-NEXT HOLDINGS Co.,Ltd.",Information & Communication,2023,2023-12-01,75120763750.0,50.33927487292637,35.59862610402355,64.1315014720314,69.11187438665358,54.79531920890872,53.607670587491256,0.3544105435854394
9419,"WirelessGate,Inc.",Information & Communication,2023,2024-03-27,2274076088.0,36.38757935533597,75.02453385672227,64.1315014720314,15.824337585868498,47.84198806748954,51.28550835027106,-0.0047169811320755
9424,Japan Communications Inc.,Information & Communication,2023,2023-06-30,39928605838.0,77.67723941964731,75.02453385672227,64.1315014720314,6.550539744847891,55.84595362331222,62.28133669341136,-0.1776859504132231
9432,"NTT,Inc.",Information & Communication,2023,2023-06-24,563685511316.4862,70.37882697876155,11.236506378802748,64.1315014720314,99.53385672227674,61.320172887968106,58.092303638280086,-0.0194182534998778
9433,KDDI CORPORATION,Information & Communication,2023,2023-06-23,4807145280578.0,74.77919528949951,11.236506378802748,64.1315014720314,59.003925417075564,52.2877821393523,53.33292443572129,0.0158681892596093
9434,SoftBank Corp.,Information & Communication,2023,2023-06-22,720378315457.5,34.78900883218842,11.236506378802748,64.1315014720314,79.2198233562316,47.344210009813544,44.36825318940137,0.3788293394933673
9435,"HIKARI TSUSHIN,INC.",Information & Communication,2023,2023-06-29,926704425660.0,29.311553003944525,11.236506378802748,64.1315014720314,12.070657507360156,29.187554590534706,32.652641563597484,0.4885139129856426
9436,OKINAWA CELLULAR TELEPHONE COMPANY,Information & Communication,2023,2023-06-16,77214185000.0,88.44455348380765,75.02453385672227,64.1315014720314,73.96957801766438,75.39254170755643,75.62438665358194,0.3475697450675805
9449,"GMO internet group,Inc.",Information & Communication,2023,2024-03-23,293975603721.5,29.941054973479787,35.59862610402355,64.1315014720314,46.07458292443572,43.93644136849261,44.0326108983246,0.0967111877853537
9450,Fibergate Inc.,Information & Communication,2023,2023-09-29,27125022900.0,74.1205894756348,75.02453385672227,64.1315014720314,21.90873405299313,58.7963397143454,63.5180708564294,-0.231884579448189
9467,"AlphaPolis Co.,Ltd.",Information & Communication,2023,2023-06-24,8427864000.0,89.79756144347648,75.02453385672227,64.1315014720314,75.07360157016683,76.00679958559925,76.19589257435797,-0.1988504917652513
9468,KADOKAWA CORPORATION,Information & Communication,2023,2023-06-24,475401483760.0,52.420371187449554,75.02453385672227,64.1315014720314,23.454367026496566,53.75769338567495,57.239850315999334,-0.1826390473036047
9470,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,2023,2023-12-23,42695994176.0,34.30413850017196,75.02453385672227,64.1315014720314,61.923454367026494,58.84590704898803,57.57534361089555,0.0662160435871239
9474,"ZENRIN CO.,LTD.",Information & Communication,2023,2023-06-20,49867572685.0,53.85360952542728,75.02453385672227,64.1315014720314,43.5721295387635,59.14544359823611,60.687486194232704,0.0435752499172514
9502,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,2023,2023-06-30,1329177879400.0,23.895816996077066,75.02453385672227,77.4288518155054,48.6261040235525,56.24382667296431,56.44744971118818,0.0923635860894096
9503,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,2023,2023-06-30,1611284040504.0,10.451013830257402,75.02453385672227,77.4288518155054,35.402355250245336,49.5766886881826,50.43044644544621,0.4876577756739797
9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,2023,2023-06-30,200884833900.16577,25.557350803069088,35.59862610402355,77.4288518155054,37.51226692836114,44.0242739127398,45.42235735083241,0.405515738587489
