code,negative_book_equity,net_loss_current_year,net_loss_prior_year,two_year_net_loss,operating_cf_negative_current_year,operating_cf_negative_prior_year,two_year_ocf_loss,operating_income_negative,current_liabilities_gt_current_assets,liabilities_to_assets_high,equity_ratio_low,going_concern_flag_if_available,distress_exclusion_flag,distress_review_flag,distress_reason
6257,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4374,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3441,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7745,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9640,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4928,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7995,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9202,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9795,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9476,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6807,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6368,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3003,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9661,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6249,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7735,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6351,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6307,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6238,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5819,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4762,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7743,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6158,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3800,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6378,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7269,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9769,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3834,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4917,False,False,False,False,False,False,False,True,,False,False,False,False,True,operating_income_negative
6203,False,False,True,False,False,True,False,False,,False,False,False,False,False,
4970,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5951,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6496,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6918,False,False,False,False,True,True,True,False,,False,False,False,False,True,two_year_ocf_loss
6310,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6433,False,True,True,True,True,False,False,True,,False,False,False,True,True,two_year_net_loss;operating_income_negative
7702,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6849,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6364,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3939,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4684,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4272,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4733,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9446,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6907,False,False,True,False,False,True,False,False,,False,False,False,False,False,
6316,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9635,False,False,True,False,False,False,False,False,,False,False,False,False,False,
9636,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6908,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5444,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4345,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6445,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2124,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9414,False,False,False,False,False,False,False,False,,False,False,False,False,False,
1928,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5992,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6349,False,False,False,False,False,True,False,False,,False,False,False,False,False,
4828,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9679,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9445,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6757,False,False,True,False,False,True,False,False,,False,False,False,False,False,
6408,False,False,True,False,False,False,False,True,,False,False,False,False,True,operating_income_negative
6287,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6138,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6513,False,False,True,False,True,False,False,True,,False,False,False,False,True,operating_income_negative
6905,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2480,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6237,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6339,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4109,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4743,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9412,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5906,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7729,False,False,False,False,False,False,False,False,,False,False,False,False,False,
