code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
9216,9216.T,"Bewith,Inc.",Services,14494609000.0,S100WLY3,5187595000.0,36424310000.0,31236715000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.35789823650986374,True,False
7421,7421.T,"KAPPA・CREATE CO.,LTD.",Retail Trade,31972000000.0,S100VZXW,38256000000.0,73208000000.0,34951000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,1.1965469786062806,True,False
8076,8076.T,CANOX CORPORATION,Wholesale Trade,87729119000.0,S100VZF7,8284096000.0,173013544000.0,164729448000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.09442812254845509,True,False
5257,5257.T,"NOVA SYSTEM CO.,LTD.",Information & Communication,4087674000.0,S100XT6D,1296867000.0,6716189000.0,5419321000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.31726282477516554,True,False
2060,2060.T,"FEED ONE CO.,LTD.",Foods,124172000000.0,S100VYJ3,31874000000.0,296045000000.0,264171000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2566923299938795,True,False
1788,1788.T,SANTO CORPORATION,Construction,5086929000.0,S100WROP,1009260000.0,8199727000.0,7190466000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.19840261187054115,True,False
2217,2217.T,Morozoff Limited,Foods,28163234000.0,S100Y0DZ,17523175000.0,36273371000.0,18750196000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.622200383663325,True,False
7215,7215.T,"FALTEC Co.,Ltd.",Transportation Equipment,76100000000.0,S100W1DG,12500000000.0,79114000000.0,66614000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.164257555847569,True,False
7095,7095.T,"Macbee Planet,Inc.",Services,14797000000.0,S100WFS4,9236000000.0,51675000000.0,42438000000.0,direct_gross_profit,GrossProfitIFRS,RevenueIFRS,CostOfSalesIFRS,0.6241805771440156,True,False
7938,7938.T,REGAL CORPORATION,Other Products,26258000000.0,S100W16P,11441000000.0,23558000000.0,12116000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4357148297661665,True,False
1813,1813.T,Fudo Tetra Corporation,Construction,64148000000.0,S100W3ZJ,12009000000.0,69557000000.0,57548000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.18720770717715282,True,False
7475,7475.T,"ALBIS Co.,Ltd.",Retail Trade,52890000000.0,S100W1NA,30631000000.0,97165000000.0,67554000000.0,direct_gross_profit,OperatingGrossProfit,NetSales,CostOfSales,0.5791453961051238,True,False
