ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
4972.T,2026-06-01,3450.0,3450.0,82400.0,220640216.66666666,1222
4973.T,2026-06-01,5530.0,5530.0,98300.0,279702925.0,1222
4974.T,2026-06-01,1143.0,1143.0,415900.0,637854210.0,1222
4975.T,2026-06-01,7430.0,7430.0,136900.0,690168716.6666666,1222
4976.T,2026-06-01,1316.0,1316.0,1100.0,2472978.3333333335,1222
4977.T,2026-06-01,1200.0,1200.0,44100.0,60044753.333333336,1222
4978.T,2026-06-01,128.0,128.0,875000.0,130293405.0,1222
4979.T,2026-06-01,2609.0,2609.0,50100.0,206192960.0,1222
4980.T,2026-06-01,4542.0,4542.0,4231800.0,7067677015.0,1222
4985.T,2026-06-01,4645.0,4645.0,67700.0,260027616.66666666,1222
4990.T,2026-06-01,481.0,481.0,4100.0,2959066.6666666665,1222
4992.T,2026-06-01,1732.0,1732.0,51800.0,105582648.33333333,1222
4994.T,2026-06-01,2166.0,2166.0,78600.0,47970096.666666664,1222
4996.T,2026-06-01,733.0,733.0,619600.0,498276386.6666667,1222
4997.T,2026-06-01,992.0,992.0,213800.0,154991463.33333334,1222
4998.T,2026-06-01,1130.0,1130.0,28200.0,20704675.0,1222
5010.T,2026-06-01,243.0,243.0,137300.0,63959341.666666664,1222
5011.T,2026-06-01,1975.0,1975.0,51600.0,106311003.33333333,1222
5013.T,2026-06-01,3300.0,3300.0,52300.0,150744898.33333334,1222
5015.T,2026-06-01,1015.0,1015.0,8000.0,16013701.666666666,1222
5016.T,2026-06-01,3822.0,3822.0,13202300.0,152381507860.0,292
5018.T,2026-06-01,1944.0,1944.0,20000.0,71094721.66666667,1222
5019.T,2026-06-01,1357.0,1357.0,4699300.0,7145332335.0,1222
5020.T,2026-06-01,1265.0,1265.0,9352400.0,13715862699.166666,1222
5021.T,2026-06-01,3671.0,3671.0,839100.0,3314935555.0,1222
5022.T,2026-05-29,1840.0,1840.0,0.0,0.0,627
5025.T,2026-06-01,674.0,674.0,2400.0,981698.3333333334,1041
5026.T,2026-06-01,625.0,625.0,15300.0,25353313.333333332,978
5027.T,2026-06-01,507.0,507.0,281600.0,191185765.0,775
5028.T,2026-06-01,354.0,354.0,36500.0,12123110.0,1015
5029.T,2026-06-01,799.0,799.0,36100.0,7376325.0,1009
5031.T,2026-06-01,510.0,510.0,678400.0,187227966.66666666,999
5032.T,2026-06-01,2907.0,2907.0,861000.0,3479777313.3333335,972
5033.T,2026-06-01,710.0,710.0,5800.0,4849441.666666667,959
5034.T,2026-06-01,2015.0,2015.0,48900.0,59675296.666666664,938
5035.T,2026-06-01,406.0,406.0,3000.0,2544078.3333333335,938
5036.T,2026-06-01,1679.0,1679.0,86900.0,229082413.33333334,935
5037.T,2026-05-29,4240.0,4240.0,0.0,0.0,917
5038.T,2026-06-01,1855.0,1855.0,48100.0,136554948.33333334,902
5071.T,2026-06-01,1375.0,1375.0,3800.0,7314850.0,1222
5072.T,2026-05-29,3500.0,3500.0,0.0,0.0,1221
5074.T,2026-06-01,1019.0,1019.0,2959500.0,3176387816.6666665,1222
5076.T,2026-06-01,2421.0,2421.0,1550600.0,4740891821.666667,1139
5077.T,2026-05-29,2046.0,2046.0,0.0,0.0,1045
5078.T,2026-06-01,4930.0,4930.0,2400.0,3266316.6666666665,1031
5079.T,2026-06-01,2472.0,2472.0,16400.0,34634518.333333336,1018
5101.T,2026-06-01,6986.0,6986.0,659700.0,6979795436.666667,1222
5103.T,2026-06-01,39.0,39.0,19900.0,1799666.6666666667,1222
